Gender,Age,Married,Number of Dependents,City,Zip Code,Tenure in Months,Offer,Phone Service,Internet Service,Total Charges,Total Revenue,Customer Status
Female,54,No,1,Gardena,90248,11,None,No,Yes,402.6,502.6,Stayed
Male,61,No,0,Fallbrook,92028,5,None,Yes,Yes,453.4,608.85,Churned
Female,62,No,0,San Francisco,94134,16,Offer D,Yes,No,326.65,990.81,Stayed
Male,80,No,0,San Diego,92126,71,None,Yes,Yes,7382.85,7815.95,Stayed
Female,23,No,0,Santa Ana,92703,11,None,No,Yes,422.6,422.6,Stayed
Female,63,Yes,0,Snelling,95369,61,None,Yes,Yes,6010.05,9019.18,Churned
Female,50,Yes,0,Darwin,93522,71,None,Yes,Yes,6046.1,7683.36,Stayed
Male,56,No,0,San Bernardino,92404,9,None,Yes,No,178.8,545.46,Stayed
Female,63,No,0,Garberville,95542,6,None,Yes,Yes,314.6,549.56,Stayed
Female,58,No,0,Long Beach,90807,26,None,Yes,Yes,2274.35,3314.69,Churned
Female,29,No,0,Upland,91784,6,Offer E,Yes,Yes,322.9,364.78,Stayed
Male,54,No,0,El Dorado Hills,95762,11,None,Yes,Yes,888.75,1225.02,Stayed
Male,25,Yes,0,Santa Rosa,95403,1,None,Yes,Yes,80.55,124.22,Churned
Female,31,Yes,0,Malibu,90265,49,None,Yes,No,973.35,1111.53,Stayed
Female,25,Yes,2,Santa Rosa,95401,3,Offer E,Yes,Yes,168.6,203.01,Joined
Female,46,No,0,Riverdale,93656,53,Offer B,Yes,Yes,5424.25,7733.46,Stayed
Male,28,Yes,0,Oxnard,93035,23,None,Yes,Yes,2331.3,3204.15,Churned
Male,63,No,0,Palmdale,93591,2,None,Yes,Yes,89.5,140.48,Churned
Male,37,No,0,Covina,91723,1,None,Yes,Yes,48.55,59.9,Churned
Male,44,No,1,San Lucas,93954,3,None,Yes,No,121.25,222.86,Joined
Female,74,Yes,0,Palmdale,93591,68,None,Yes,Yes,6851.65,8302.09,Churned
Male,44,No,0,Hoopa,95546,8,None,Yes,Yes,740.3,976.22,Churned
Female,21,Yes,0,Long Beach,90802,70,Offer A,Yes,Yes,6982.5,8228.7,Stayed
Male,62,Yes,3,Samoa,95564,39,Offer C,Yes,Yes,3835.55,4509.86,Stayed
Female,43,No,0,Burnt Ranch,95527,1,None,Yes,Yes,70.1,87.47,Churned
Female,40,No,0,Garden Grove,92844,3,None,Yes,Yes,315.3,405.84,Churned
Male,48,Yes,0,Milford,96121,60,Offer B,Yes,Yes,6157.6,7310.8,Stayed
Female,55,Yes,0,Anderson,96007,5,Offer E,Yes,Yes,330.15,415.55,Churned
Male,77,No,0,San Diego,92122,3,Offer E,Yes,Yes,233.7,261.36,Churned
Female,41,Yes,0,San Diego,92123,55,None,Yes,Yes,3462.1,5513.47,Stayed
Male,43,No,0,Santa Margarita,93453,72,None,No,Yes,4390.25,4390.25,Stayed
Male,69,Yes,0,Orange,92869,72,Offer A,Yes,Yes,5360.75,5880.19,Stayed
Female,63,No,0,Los Angeles,90033,41,None,Yes,Yes,4443.45,5001.08,Churned
Male,38,No,0,San Jose,95111,60,Offer B,No,Yes,2424.5,2386.04,Stayed
Female,43,No,0,San Diego,92109,6,None,Yes,Yes,577.6,593.2,Churned
Female,29,Yes,0,Ione,95640,46,None,Yes,Yes,4854.3,4946.3,Stayed
Female,46,No,0,San Mateo,94404,15,None,Yes,No,320.45,361.55,Stayed
Female,33,Yes,0,San Diego,92117,58,None,Yes,Yes,5885.4,6188.98,Churned
Male,60,Yes,3,Los Angeles,90034,23,None,Yes,No,426.65,1209.57,Stayed
Female,70,Yes,0,San Francisco,94130,31,Offer C,Yes,Yes,2911.3,4397.75,Churned
Male,54,Yes,0,Santa Cruz,95062,11,Offer D,Yes,Yes,521.9,664.35,Stayed
Female,80,No,0,Winchester,92596,56,None,Yes,Yes,5706.3,6676.78,Stayed
Female,41,No,3,El Cajon,92021,25,Offer C,Yes,No,471.7,793.45,Stayed
Female,38,No,0,Sherman Oaks,91403,68,Offer A,No,Yes,4539.6,4669.6,Stayed
Female,48,No,0,Norco,92860,40,None,Yes,No,830.25,1871.45,Stayed
Male,46,No,0,Thornton,95686,36,None,Yes,Yes,3067.2,3954.96,Churned
Male,22,No,0,Lake Hughes,93532,32,Offer C,Yes,Yes,3432.9,4318.98,Churned
Male,28,Yes,3,Paramount,90723,71,Offer A,Yes,Yes,6263.8,6981.61,Stayed
Male,58,Yes,0,San Juan Capistrano,92675,17,Offer D,Yes,Yes,1742.5,1914.37,Stayed
Male,55,Yes,0,Copperopolis,95228,18,Offer D,Yes,Yes,1468.75,2040.97,Stayed
Female,52,No,0,Covina,91724,37,None,Yes,Yes,3382.3,3816.31,Stayed
Male,42,No,0,Colusa,95932,2,None,Yes,No,46.35,135.03,Joined
Female,56,Yes,2,Cypress,90630,28,Offer C,Yes,Yes,1992.2,2354.52,Stayed
Male,34,No,0,Sacramento,95814,9,Offer E,No,Yes,373.0,373.0,Stayed
Female,63,No,0,Lancaster,93534,1,Offer E,Yes,Yes,50.15,138.48,Joined
Male,59,Yes,0,Orange,92867,65,None,Yes,No,1414.45,2939.35,Stayed
Female,62,No,0,Gonzales,93926,3,None,Yes,Yes,122.7,169.47,Joined
Female,31,No,0,Los Angeles,90045,1,Offer E,No,Yes,34.7,34.7,Churned
Male,24,Yes,0,San Ysidro,92173,36,Offer C,Yes,Yes,3366.05,4837.37,Stayed
Male,21,No,0,Novato,94949,23,None,Yes,Yes,1943.2,2828.34,Churned
Male,21,Yes,3,Gilroy,95020,22,Offer D,Yes,Yes,1271.8,2208.56,Stayed
Female,56,Yes,0,Oak Park,91377,72,None,Yes,Yes,7965.95,8275.39,Stayed
Female,31,Yes,0,South San Francisco,94080,17,None,Yes,Yes,1460.65,1765.12,Churned
Female,20,No,0,Vernalis,95385,3,None,Yes,Yes,272.2,304.0,Churned
Male,31,Yes,0,San Jose,95117,58,Offer B,Yes,Yes,3563.8,4562.56,Churned
Male,60,Yes,0,Sunnyvale,94089,67,None,Yes,Yes,5398.6,8430.35,Stayed
Male,72,No,0,Newport Beach,92660,34,None,Yes,Yes,3343.15,4533.15,Stayed
Male,56,No,0,San Francisco,94133,10,None,Yes,No,198.7,242.9,Stayed
Female,42,No,0,Stanford,94305,69,Offer A,Yes,Yes,5897.4,7171.83,Stayed
Male,38,No,0,Los Angeles,90041,40,None,No,Yes,2511.55,2511.55,Stayed
Male,64,No,0,Turlock,95380,20,Offer D,Yes,Yes,1398.6,1650.6,Stayed
Female,61,Yes,1,Beverly Hills,90210,46,None,Yes,No,967.85,3152.85,Stayed
Female,28,Yes,0,Riverside,92503,2,None,Yes,Yes,139.4,158.98,Churned
Female,76,Yes,2,Los Alamitos,90720,1,Offer E,Yes,Yes,70.45,85.73,Churned
Female,44,Yes,0,Fresno,93710,72,None,Yes,Yes,7589.8,8063.56,Stayed
Male,28,Yes,3,Escondido,92025,70,None,Yes,No,1790.15,1875.55,Stayed
Female,34,No,0,Gardena,90247,2,None,Yes,No,44.4,144.22,Joined
Male,25,No,3,Encinitas,92024,23,Offer D,Yes,Yes,1284.2,1320.54,Stayed
Male,58,Yes,0,Sacramento,95829,36,Offer C,Yes,Yes,3474.2,4935.08,Stayed
Male,70,Yes,0,South Dos Palos,93665,59,None,Yes,Yes,5574.75,6202.64,Churned
Male,24,No,0,Orick,95555,67,Offer A,Yes,No,1430.95,4600.72,Stayed
Male,22,Yes,3,San Jose,95118,72,None,Yes,Yes,7542.25,8152.01,Stayed
Female,22,No,0,El Monte,91732,37,None,Yes,Yes,3545.35,4434.83,Churned
Female,36,Yes,1,Spreckels,93962,72,Offer A,Yes,No,1709.1,3189.42,Stayed
Male,23,Yes,0,Beverly Hills,90212,72,Offer A,Yes,No,1421.9,3435.74,Stayed
Male,21,No,2,La Habra,90631,3,Offer E,Yes,Yes,229.55,264.61,Churned
Female,75,Yes,0,Visalia,93277,54,Offer B,Yes,Yes,5373.1,7181.56,Churned
Male,59,Yes,0,San Francisco,94114,60,None,Yes,Yes,5742.9,7856.1,Churned
Female,35,Yes,0,Whittier,90602,58,Offer B,Yes,Yes,6526.65,8727.75,Stayed
Female,64,Yes,0,Long Beach,90822,31,Offer C,Yes,Yes,2674.15,3035.71,Stayed
Female,62,No,0,Stockton,95215,3,None,Yes,Yes,170.5,300.8,Joined
Male,20,No,0,Essex,92332,55,None,Yes,Yes,3175.85,3851.25,Stayed
Female,58,No,0,Los Gatos,95030,1,Offer E,Yes,Yes,44.4,70.93,Churned
Male,44,Yes,0,Grass Valley,95949,49,Offer B,Yes,Yes,4297.95,4994.24,Stayed
Male,40,No,0,San Diego,92117,8,None,No,Yes,215.2,215.2,Churned
Female,72,No,0,Visalia,93291,39,None,Yes,Yes,4036.0,4427.17,Stayed
Male,43,Yes,0,San Jose,95112,66,Offer A,Yes,Yes,4428.45,6917.31,Stayed
Female,23,Yes,0,Fresno,93722,15,None,Yes,No,295.95,815.4,Stayed
Female,34,Yes,0,San Diego,92117,51,Offer B,Yes,Yes,4947.55,7511.27,Stayed
Male,74,No,0,Snelling,95369,9,None,Yes,Yes,447.9,511.89,Stayed
Female,54,No,0,Encino,91316,1,Offer E,Yes,No,20.9,36.41,Churned
Male,29,No,0,Bellflower,90706,25,Offer C,Yes,No,516.3,605.8,Stayed
Male,56,Yes,0,Sonora,95370,22,None,Yes,Yes,1850.65,2921.61,Stayed
Male,40,No,0,Highland,92346,15,None,Yes,Yes,749.25,925.5,Stayed
Female,37,Yes,0,Novato,94949,28,None,Yes,Yes,2598.95,3111.63,Churned
Male,47,No,0,Temecula,92592,3,None,Yes,Yes,237.65,253.82,Joined
Female,34,Yes,0,Los Angeles,90071,47,Offer B,Yes,Yes,4707.1,6500.15,Stayed
Female,21,No,0,Long Beach,90805,67,Offer A,Yes,Yes,5714.2,6296.46,Stayed
Female,78,No,0,Escondido,92027,18,Offer D,Yes,Yes,1294.6,1694.22,Stayed
Male,47,Yes,0,Herlong,96113,62,Offer B,Yes,Yes,3753.2,5842.6,Stayed
Female,51,No,0,Petaluma,94954,41,None,Yes,Yes,3263.9,3516.46,Stayed
Female,64,No,0,Mojave,93501,44,Offer B,Yes,Yes,2139.1,2949.58,Stayed
Female,59,No,0,Callahan,96014,53,None,Yes,Yes,5042.75,6838.39,Stayed
Male,44,Yes,0,Bodega,94922,48,None,Yes,No,1036.0,2622.88,Stayed
Female,79,Yes,0,Denair,95316,54,Offer B,Yes,Yes,6431.05,8791.39,Stayed
